Short_name;Cell_type;Age;Flow_cell;Pool;FRiP;Mapped_filtered_read_pairs
CD49bneg_Old_1;CD49bneg;Old;1;1;48;14010688
CD49bneg_Old_2;CD49bneg;Old;1;1;55;14021042
CD49bpos_Old_1;CD49bpos;Old;1;1;24;19134472
CD49bpos_Old_2;CD49bpos;Old;1;1;45;14056994
GMP_Old_1;GMP;Old;1;1;28;25642124
GMP_Old_2;GMP;Old;1;1;34;10157766
LMPP_Old_1;LMPP;Old;1;1;50;9496908
CD49bneg_Juvenile_1;CD49bneg;Juvenile;2;1;49;11629254
CD49bneg_Juvenile_2;CD49bneg;Juvenile;2;1;52;15182526
CD49bneg_Juvenile_3;CD49bneg;Juvenile;2;1;13;20786907
CD49bpos_Juvenile_1;CD49bpos;Juvenile;2;1;44;16018007
CD49bpos_Juvenile_2;CD49bpos;Juvenile;2;1;22;23105187
LMPP_Juvenile_1;LMPP;Juvenile;2;1;51;13413248
LMPP_Juvenile_2;LMPP;Juvenile;2;1;47;23905969
LMPP_Juvenile_3;LMPP;Juvenile;2;1;49;15005673
LMPP_Juvenile_4;LMPP;Juvenile;2;1;47;15695029
LMPP_Juvenile_5;LMPP;Juvenile;2;1;34;18302746
CD49bneg_Old_3;CD49bneg;Old;3;1;52;14126853
CD49bneg_Old_4;CD49bneg;Old;3;1;49;14004722
CD49bpos_Old_3;CD49bpos;Old;3;1;46;15732201
CD49bpos_Old_4;CD49bpos;Old;3;1;41;13399772
GMP_Old_3;GMP;Old;3;1;17;21909422
GMP_Old_4;GMP;Old;3;1;28;24395046
LMPP_Old_2;LMPP;Old;3;1;51;11476584
LMPP_Old_3;LMPP;Old;3;1;48;15361589
CD49bneg_Old_5;CD49bneg;Old;4;1;51;14173879
CD49bneg_Juvenile_4;CD49bneg;Juvenile;4;1;32;10119445
CD49bneg_Juvenile_5;CD49bneg;Juvenile;4;1;18;16853670
CD49bpos_Old_5;CD49bpos;Old;4;1;35;14578613
CD49bpos_Juvenile_3;CD49bpos;Juvenile;4;1;10;26473415
CD49bpos_Juvenile_4;CD49bpos;Juvenile;4;1;20;13879470
GMP_Juvenile_1;GMP;Juvenile;4;1;28;19981076
CD49bpos_Juvenile_5;CD49bpos;Juvenile;5;1;24;19036274
GMP_Juvenile_2;GMP;Juvenile;5;1;28;11229417
GMP_Juvenile_3;GMP;Juvenile;5;1;27;23545983
GMP_Juvenile_4;GMP;Juvenile;5;1;16;23084092
LMPP_Juvenile_6;LMPP;Juvenile;5;1;32;13918839
CD49bpos_Adult_1;CD49bpos;Adult;ERL037;1;35;20637106
CD49bpos_Adult_2;CD49bpos;Adult;ERL037;2;31;28194426
LMPP_Adult_2;LMPP;Adult;ERL037;2;36;32390465
CD49bneg_Adult_2;CD49bneg;Adult;ERL038;1;16;29495054
CD49bpos_Adult_4;CD49bpos;Adult;ERL038;2;21;30552030
CD49bpos_Adult_5;CD49bpos;Adult;ERL039;1;32;26008671
LMPP_Adult_5;LMPP;Adult;ERL039;1;47;33397366
CD49bpos_Adult_6;CD49bpos;Adult;ERL039;2;32;31609546
LMPP_Adult_6;LMPP;Adult;ERL039;2;44;26490607
CD49bneg_Adult_4;CD49bneg;Adult;ERL041;1;25;22006077
CD49bneg_Adult_5;CD49bneg;Adult;ERL041;2;24;12474734
LMPP_Adult_8;LMPP;Adult;ERL041;2;38;10214215
GMP_Adult_2;GMP;Adult;ERL042;1;13;122637889
LMPP_Adult_9;LMPP;Adult;ERL042;1;38;46904008
GMP_Adult_3;GMP;Adult;ERL042;2;10;60501623
GMP_Adult_4;GMP;Adult;ERL042;3;11;42130890
CD49bneg_Adult_8;CD49bneg;Adult;ERL043;1;17;37324421
GMP_Adult_5;GMP;Adult;ERL043;1;11;46821794
CD49bneg_Adult_9;CD49bneg;Adult;ERL044;1;17;33380643
GMP_Adult_6;GMP;Adult;ERL044;1;12;60375533
GMP_Adult_1_I;GMP_I;Adult;Itokawa;1;39;22195934
GMP_Old_1_I;GMP_I;Old;Itokawa;1;46;20148133
GMP_Adult_2_I;GMP_I;Adult;Itokawa;1;53;12061674
GMP_Old_2_I;GMP_I;Old;Itokawa;1;49;13043464
HSC_Adult_1_I;HSC_I;Adult;Itokawa;1;28;7876967
HSC_Old_1_I;HSC_I;Old;Itokawa;1;23;6835262
HSC_Adult_2_I;HSC_I;Adult;Itokawa;1;32;7459416
HSC_Old_2_I;HSC_I;Old;Itokawa;1;26;7141925
HSC_Adult_3_I;HSC_I;Adult;Itokawa;1;22;7418235
HSC_Old_3_I;HSC_I;Old;Itokawa;1;28;5420598
HSC_Adult_4_I;HSC_I;Adult;Itokawa;1;21;8209506
HSC_Old_4_I;HSC_I;Old;Itokawa;1;28;5332418
LMPP_Adult_1_I;LMPP_I;Adult;Itokawa;1;28;7936666
LMPP_Old_1_I;LMPP_I;Old;Itokawa;1;27;9258097
LMPP_Adult_2_I;LMPP_I;Adult;Itokawa;1;28;7061105
LMPP_Old_2_I;LMPP_I;Old;Itokawa;1;28;8648476